Date,Open,High,Low,Close,Adj Close,Volume
1971-01-04,120.529999,120.550003,120.489998,120.529999,120.529999,0
1971-01-11,120.529999,120.529999,120.440002,120.440002,120.440002,0
1971-01-18,120.410004,120.410004,120.309998,120.309998,120.309998,0
1971-01-25,120.269997,120.269997,120.239998,120.239998,120.239998,0
1971-02-01,120.260002,120.279999,120.239998,120.260002,120.260002,0
1971-02-08,120.260002,120.290001,120.250000,120.290001,120.290001,0
1971-02-15,120.220001,120.220001,120.180000,120.180000,120.180000,0
1971-02-22,120.139999,120.260002,120.120003,120.260002,120.260002,0
1971-03-01,120.250000,120.250000,120.169998,120.169998,120.169998,0
1971-03-08,120.129997,120.180000,120.129997,120.180000,120.180000,0
1971-03-15,120.190002,120.190002,120.160004,120.180000,120.180000,0
1971-03-22,120.180000,120.180000,120.160004,120.169998,120.169998,0
1971-03-29,120.180000,120.180000,120.169998,120.180000,120.180000,0
1971-04-05,120.190002,120.220001,120.160004,120.220001,120.220001,0
1971-04-12,120.220001,120.309998,120.220001,120.230003,120.230003,0
1971-04-19,120.290001,120.290001,120.230003,120.269997,120.269997,0
1971-04-26,120.269997,120.269997,120.180000,120.190002,120.190002,0
1971-05-03,120.169998,120.169998,119.440002,119.440002,119.440002,0
1971-05-10,119.120003,119.559998,119.120003,119.339996,119.339996,0
1971-05-17,119.330002,119.330002,118.910004,118.910004,118.910004,0
1971-05-24,118.980003,119.430000,118.980003,119.430000,119.430000,0
1971-05-31,119.690002,119.690002,119.269997,119.269997,119.269997,0
1971-06-07,119.230003,119.250000,119.190002,119.239998,119.239998,0
1971-06-14,119.290001,119.339996,119.290001,119.290001,119.290001,0
1971-06-21,119.320000,119.320000,119.160004,119.209999,119.209999,0
1971-06-28,119.250000,119.250000,119.160004,119.160004,119.160004,0
1971-07-05,119.209999,119.209999,119.169998,119.169998,119.169998,0
1971-07-12,119.169998,119.169998,118.919998,118.919998,118.919998,0
1971-07-19,118.919998,118.919998,118.760002,118.760002,118.760002,0
1971-07-26,118.800003,118.830002,118.760002,118.760002,118.760002,0
1971-08-02,118.790001,118.809998,118.540001,118.580002,118.580002,0
1971-08-09,118.029999,118.099998,117.820000,117.839996,117.839996,0
1971-08-16,117.839996,117.839996,117.839996,117.839996,117.839996,0
1971-08-23,117.839996,117.839996,117.839996,117.839996,117.839996,0
1971-08-30,117.839996,117.839996,116.349998,116.379997,116.379997,0
1971-09-06,116.419998,116.419998,116.320000,116.320000,116.320000,0
1971-09-13,116.290001,116.290001,115.910004,115.910004,115.910004,0
