Series Id,Year,Period,Value
CEU0500000013,2019,M01,11.01
CEU0500000013,2019,M02,10.99
CEU0500000013,2019,M03,10.93
CEU0500000013,2019,M04,10.90
CEU0500000013,2019,M05,10.85
CEU0500000013,2019,M06,10.89
CEU0500000013,2019,M07,10.86
CEU0500000013,2019,M08,10.89
CEU0500000013,2019,M09,11.02
CEU0500000013,2019,M10,10.95
CEU0500000013,2019,M11,10.99
CEU0500000013,2019,M12,11.09
CEU0500000013,2020,M01,11.07
CEU0500000013,2020,M02,11.14
CEU0500000013,2020,M03,11.20
CEU0500000013,2020,M04,11.75
CEU0500000013,2020,M05,11.56
CEU0500000013,2020,M06,11.29
CEU0500000013,2020,M07,11.28
CEU0500000013,2020,M08,11.35
CEU0500000013,2020,M09,11.31
CEU0500000013,2020,M10,11.32
CEU0500000013,2020,M11,11.44
CEU0500000013,2020,M12,11.46
CEU0500000013,2021,M01,11.49
CEU0500000013,2021,M02,11.46
CEU0500000013,2021,M03,11.34
CEU0500000013,2021,M04,11.35
CEU0500000013,2021,M05,11.34
CEU0500000013,2021,M06,11.14
CEU0500000013,2021,M07,11.17
CEU0500000013,2021,M08,11.26
CEU0500000013,2021,M09,11.26
CEU0500000013,2021,M10,11.24
CEU0500000013,2021,M11,11.20
CEU0500000013,2021,M12,11.23
CEU0500000013,2022,M01,11.37
CEU0500000013,2022,M02,11.18
CEU0500000013,2022,M03,11.06
CEU0500000013,2022,M04,11.08
CEU0500000013,2022,M05,11.02
CEU0500000013,2022,M06,10.77
CEU0500000013,2022,M07,10.86
CEU0500000013,2022,M08,10.89
CEU0500000013,2022,M09,10.94
CEU0500000013,2022,M10,11.02
CEU0500000013,2022,M11,10.98
CEU0500000013,2022,M12,11.06
CEU0500000013,2023,M01,11.15
CEU0500000013,2023,M02,11.03
CEU0500000013,2023,M03,10.98
CEU0500000013,2023,M04,11.10
CEU0500000013,2023,M05,10.97
